4,Kimbell,120,50000.000000
7,Kimberlee,60,33000.000000
12,Cordelie,325,50000.000000
13,Shel,120,50000.000000
17,Ernesta,60,37000.000000
18,Cirillo,88,50000.000000
22,Eugene,88,50000.000000
23,Johnny,325,33000.000000
24,Reagen,90,42000.000000
27,Anthea,90,42000.000000
28,Doro,120,33000.000000
29,Gaye,120,37000.000000
32,Katey,180,42000.000000
34,Redd,88,42000.000000
35,Jehanna,220,50000.000000
37,Stefa,88,42000.000000
42,Ame,88,50000.000000
44,Margarete,120,50000.000000
45,Nikoletta,120,50000.000000
46,Lonnard,75,50000.000000
50,Carroll,220,42000.000000
51,Marion,88,50000.000000
54,Julina,120,33000.000000
55,Corina,220,37000.000000
56,Bernardine,75,33000.000000
59,Celene,120,50000.000000
60,Kori,90,50000.000000
64,Gabbey,120,37000.000000
65,Star,90,33000.000000
66,Dominica,120,33000.000000
69,Paulita,120,50000.000000
70,Sayre,180,33000.000000
73,Cristi,88,42000.000000
76,Nananne,120,33000.000000
87,Joelle,90,37000.000000
92,Lonni,220,50000.000000
93,Nicky,180,42000.000000
95,Kyrstin,90,37000.000000
97,Marcellus,88,50000.000000
99,Aleda,90,50000.000000
104,Geneva,90,33000.000000
105,Kilian,120,42000.000000
109,Trixie,325,42000.000000
115,Harmon,220,50000.000000
117,Cherrita,180,33000.000000
119,Glenda,220,37000.000000
129,Vina,88,42000.000000
131,Tom,75,33000.000000
134,Stephenie,220,50000.000000
138,Brynn,75,50000.000000
139,Yankee,88,42000.000000
140,Corbin,120,42000.000000
144,Flora,90,33000.000000
147,Gustie,180,42000.000000
153,Byram,90,42000.000000
155,Osbert,120,42000.000000
156,Tanny,325,42000.000000
158,Clarie,60,42000.000000
160,Leonie,325,50000.000000
162,Ofella,90,50000.000000
165,Sib,60,33000.000000
166,Darleen,220,42000.000000
171,Clair,180,37000.000000
172,Addy,325,33000.000000
175,Lorant,88,50000.000000
178,Mellicent,75,50000.000000
181,Guillaume,60,37000.000000
184,Eric,60,50000.000000
186,Ian,75,42000.000000
